wall_time,wall_iso,rx_millis,sender,seq,raw_rssi,filt_rssi,baseline,delta,snr
1777229368.683295,2026-04-26T14:49:28.683295,389459,S2,784,-22.0,-23.0,-25.0,-2.0,12.8
1777229368.8214982,2026-04-26T14:49:28.821498,389596,S1,782,-7.0,-7.0,-16.8,-9.8,12.5
1777229369.164271,2026-04-26T14:49:29.164271,389940,S2,785,-23.0,-23.0,-24.9,-1.9,13.2
1777229373.857114,2026-04-26T14:49:33.857114,394632,S1,792,-7.0,-7.0,-15.0,-8.0,12.5
1777229374.0729878,2026-04-26T14:49:34.072988,394848,S2,795,-22.0,-23.0,-24.4,-1.4,13.0
1777229374.356116,2026-04-26T14:49:34.356116,395131,S1,793,-7.0,-7.0,-14.8,-7.8,12.8
1777229374.537059,2026-04-26T14:49:34.537059,395312,S2,796,-22.0,-22.0,-24.4,-2.4,13.0
1777229374.806099,2026-04-26T14:49:34.806099,395581,S1,794,-7.0,-7.0,-14.7,-7.7,12.8
1777229376.99948,2026-04-26T14:49:36.999480,397769,S2,801,-22.0,-22.0,-24.2,-2.2,12.5
